runtime,theta,theta,theta,theta,theta,theta,theta,theta,speed,speed,speed,speed,speed,speed,speed,speed,tau,tau,tau,tau,tau,tau,tau,tau,torque,torque,torque,torque,torque,torque,torque,torque,thread_timer,temp,temp,temp,temp,temp,temp,temp,temp
10,-0.10903,1.545031,0.210816,1.005026,-0.19113,1.423226,-0.221703,1.542728,0,0,0,0,0,0,0,0,62.5,-62.5,62.5,-62.5,62.5,-62.5,62.5,-62.5,0,0,0,0,0,0,0,0,10.336507,26,25,26,26,27,27,27,27
20,-0.10903,1.545031,0.210816,1.005026,-0.19113,1.423226,-0.221703,1.542728,0,0,0,0,0,0,0,0,-58.733673,-62.5,-58.733673,-62.5,-58.733673,-62.5,-58.733673,-62.5,0,0,0,0,0,0,0,0,9.875407,26,25,26,26,27,27,27,27
30,-0.107453,1.547321,0.212446,1.006709,-0.195274,1.418677,-0.226134,1.547191,0.228832,0.33937,0.232711,0.254042,-0.184714,-0.202167,-0.196834,0.189077,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,-62.5,40,35,44,41,-28,-26,-30,32,9.944431,26,25,26,26,27,27,27,27
40,-0.107102,1.551572,0.213042,1.010469,-0.201367,1.406459,-0.232931,1.558568,-0.143505,0.49451,-0.131869,0.49451,-0.084842,-0.405789,-0.087751,0.379124,-57.025604,-62.5,-57.025604,-62.5,-57.025604,-62.5,-57.025604,-62.5,-24,49,-16,38,19,-30,19,31,10.005917,26,25,26,26,27,27,27,27
50,-0.109999,1.558187,0.210177,1.01702,-0.200312,1.385612,-0.23162,1.578254,-0.403365,0.824183,-0.378155,0.793155,0.120719,-0.606987,0.12896,0.577898,-37.789726,-62.5,-37.789726,-62.5,-37.789726,-62.5,-37.789726,-62.5,-31,35,-39,38,26,-28,24,29,10.057871,26,25,26,26,27,27,27,27
60,-0.115027,1.568126,0.205734,1.02615,-0.192227,1.358639,-0.223205,1.604215,-0.589533,1.070469,-0.510024,1.031684,0.282162,-0.79461,0.296706,0.758733,-17.134081,-62.5,-17.134081,-62.5,-17.134081,-62.5,-17.134081,-62.5,-39,39,-49,35,29,-31,29,29,9.989076,26,25,26,26,27,27,27,27
70,-0.121557,1.580536,0.200408,1.03791,-0.177963,1.322388,-0.208749,1.639752,-0.717524,1.37881,-0.595351,1.308997,0.404335,-0.990474,0.423242,0.96381,5.017929,-62.5,5.017929,-62.5,5.017929,-62.5,5.017929,-62.5,-25,26,-22,38,17,-29,19,34,9.921419,26,25,26,26,27,27,27,27
80,-0.128897,1.595397,0.193761,1.052632,-0.160514,1.277583,-0.19049,1.682437,-0.680678,1.623156,-0.680678,1.592128,0.453786,-1.207671,0.453786,1.156765,19.587908,-62.5,19.587908,-62.5,19.587908,-62.5,19.587908,-62.5,-28,34,-17,38,13,-29,12,31,9.978247,26,25,26,26,27,27,27,27
90,-0.134319,1.612495,0.188381,1.069538,-0.142948,1.226727,-0.172701,1.733059,-0.457664,1.851988,-0.451846,1.851988,0.433908,-1.407414,0.448453,1.363296,21.521065,-62.5,21.521065,-62.5,21.521065,-62.5,21.521065,-62.5,-15,36,-4,32,3,-28,3,32,9.999378,26,25,26,26,27,27,27,27
100,-0.1376,1.632852,0.185377,1.088873,-0.127363,1.166157,-0.156732,1.790924,-0.2075,2.150634,-0.159019,2.129302,0.348581,-1.595037,0.357792,1.544616,19.350281,-62.5,19.350281,-62.5,19.350281,-62.5,19.350281,-62.5,-5,39,-9,43,-3,-29,3,34,10.056891,26,25,26,26,27,27,27,27
